cic_id,port,arrive_state,arrive_month
559860,MIA,FL,4
5470326,ATL,GA,4
352846,FTL,FL,4
3139866,DEN,TX,4
4916639,LOS,CA,4
2556646,FTL,CA,4
5756066,BLA,OR,4
80353,CHI,AZ,4
4745361,CHI,IL,4
4916874,CHI,DC,4
298424,NYC,NY,4
878052,LOS,AZ,4
2557045,FTL,CA,4
13213,LOS,CA,4
5021687,SHA,NY,4
13208,LOS,CA,4
3493719,DUB,NY,4
3661175,LVG,FL,4
5021720,NYC,NY,4
5430874,PSP,NE,4
3661015,SEA,NY,4
5673587,DUB,NY,4
4043656,TAM,FL,4
446046,DUB,NY,4
2752883,DET,NY,4
4269184,NEW,NY,4
450692,NEW,FL,4
2686134,NYC,NY,4
4865466,SLC,ID,4
2161755,NYC,NJ,4
17786,NYC,NE,4
3106766,MIA,FL,4
4490715,NYC,NY,4
4268549,DEN,CO,4
3846710,NYC,NY,4
5679004,NEW,NY,4
2161628,HIG,DC,4
5029772,NYC,NE,4
1794308,MIA,FL,4
5678526,ATL,FL,4
3106819,SFR,CA,4
2496533,NYC,NY,4
1794581,POO,WA,4
1793960,NYC,AZ,4
2892590,WAS,MD,4
4489534,NEW,NY,4
5026709,NYC,NY,4
4051263,MIA,FL,4
4489316,DET,FL,4
2318687,LOS,FL,4
4865286,SFB,FL,4
4273827,TAM,FL,4
18310,SEA,CA,4
2497179,SPM,FL,4
5680234,NYC,NY,4
1364080,TOR,CA,4
2496521,NYC,NY,4
4687494,TOR,OH,4
1147049,MIA,FL,4
5193362,PSP,FL,4
3476890,NOL,NV,4
5891340,MIA,FL,4
211301,MIA,FL,4
3291050,CHI,NY,4
2006623,ORL,FL,4
36661,LOS,FL,4
4507487,ORL,FL,4
1186211,ORL,FL,4
5234881,LVG,NE,4
3335777,LOS,CA,4
5695448,WAS,VA,4
3681899,SFR,CA,4
2002746,NYC,NY,4
5044435,MIA,MI,4
1602004,NYC,NY,4
2514747,ORL,FL,4
660066,NYC,NY,4
1006905,DUB,MA,4
1999678,BLA,WA,4
475483,LOS,CA,4
1379698,ORL,FL,4
3507228,NYC,NY,4
4874583,NYC,NE,4
1604063,MIA,FL,4
4876422,LOS,CA,4
5231114,WAS,DC,4
3123550,ORL,FL,4
5454506,CLT,CA,4
847150,TAM,FL,4
4879567,SFR,CA,4
2175688,SFB,FL,4
2509310,DUB,IL,4
4700630,NYC,NY,4
2903779,WAS,DC,4
3859552,NYC,NV,4
5450392,FTL,FL,4
3861001,LOS,NY,4
1376054,NYC,NY,4
5696484,NYC,NE,4
2908117,MIA,FL,4
1803491,ATL,IL,4
5693192,ATL,FL,4
2011700,LOS,CA,4
4697112,NEW,CA,4
2520663,ORL,FL,4
